Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change	score
KIAA0586	2.95969243633821	2.73696620258387e-19	UP	2.68929618382645	4.71550749764307e-16	UP	2.36489656424217	2.07728607694131e-12	UP	-1.77010069214613
PTGIS	9.65897947258486	1.19939242426183e-16	UP	8.57701515600836	3.06247663342841e-13	UP	5.72311825744877	2.26423928872217e-06	UP	-1.78725704231268
SEC62	3.73427109493258	1.73953319478358e-31	UP	3.41570961738162	2.37965099206698e-26	UP	2.77489079579524	1.78083732828027e-17	UP	-1.81551049665789
PRRX1	7.47607510417055	1.13388569915498e-11	UP	7.08624854993442	1.67023483281435e-10	UP	4.64761117812036	4.90309350818521e-05	UP	-1.81914725207018
PDGFRA	9.49514976126399	5.96650649838816e-18	UP	8.50651084423958	1.68476497834825e-14	UP	5.65799445585292	6.66135170962625e-07	UP	-1.82083915044185
CEP120	2.22020565012942	2.35154471187169e-20	UP	2.10437192230743	1.24563436664867e-18	UP	2.02476155693593	3.92649728345018e-17	UP	-1.82931746374244
TCEAL4	2.75287181258752	3.60630209400918e-10	UP	2.73754942688182	4.4547828499078e-10	UP	2.29353808593221	3.28938341896867e-07	UP	-1.83420435927689
CCDC148	3.39197969877739	0.00167427879895339	UP	3.15163073858994	0.00392242510329535	UP	2.61814333142579	0.0243226495889003	UP	-1.8443069640742
KLF12	3.58214416691958	2.82548511488004e-22	UP	3.49794071507617	2.23390059188717e-21	UP	2.71344052411206	7.29244016632999e-13	UP	-1.84473688130454
TLK2	2.45551261978709	6.88795573668901e-14	UP	2.3251701504132	1.50708776456058e-12	UP	2.15541991888057	8.16179912376069e-11	UP	-1.85532721797404
ITGAV	2.9773870682656	3.58107676557763e-12	UP	2.67245916653161	6.47222580495271e-10	UP	2.42370355258681	2.76238622215316e-08	UP	-1.87002003690801
VPS13C	2.89493493102314	1.41772388900221e-19	UP	2.83474921988097	8.9991303569937e-19	UP	2.38718777434022	1.76500625759583e-13	UP	-1.8794406176573
ZDBF2	2.90754273544725	4.04617117424975e-19	UP	2.82280623968709	3.6302583230245e-18	UP	2.39964985885802	3.88827773154954e-13	UP	-1.89175698226879
ARID4A	3.04099144491599	1.51875113426729e-09	UP	3.01578940182465	2.33452101904628e-09	UP	2.46944592269971	1.69773106156435e-06	UP	-1.89790040048343
CACNA2D3-AS1	4.84960236790113	0.0010972548154279	UP	4.55940089961425	0.00258068420819531	UP	3.37398121153983	0.0380106650704578	UP	-1.89836005517853
KIZ	3.17872358713861	1.97866646509898e-09	UP	3.17090108246746	2.49636410344503e-09	UP	2.5409833541217	3.01308597783085e-06	UP	-1.90324312110478
LOC441454	2.39190324378497	0.000559467877325575	UP	2.36429134494526	0.000630429845832785	UP	2.15010834434907	0.00247383982100627	UP	-1.90831344491318
CERKL	6.98124057872038	1.5650438070752e-08	UP	5.15289318841518	8.37058430515717e-05	UP	4.44814617058212	0.00122037710548284	UP	-1.91505176244385
PSIP1	3.79698454749411	2.01803483195901e-26	UP	3.47291371251252	3.35937278221441e-22	UP	2.85685619063266	5.79044556124121e-15	UP	-1.91672783377122
UBXN4	2.64634598425291	1.47070446292579e-23	UP	2.45386431609027	2.29562581588346e-20	UP	2.28357210934028	1.19527700602359e-17	UP	-1.92079823442765
MIA3	3.81187345094997	2.91060251001176e-33	UP	3.4429321557943	4.22737263328805e-27	UP	2.86761019083645	6.82528494672507e-19	UP	-1.92334693072293
VSTM4	4.38288688275452	0.00239767076763884	UP	4.34175781745041	0.00305639873465335	UP	3.16097311712957	0.0388759724456592	UP	-1.93905935150462
C8orf31	7.76089857608312	8.72208809258074e-15	UP	6.35867952065597	6.4424142336015e-10	UP	4.85177223371517	1.05551220272665e-05	UP	-1.94264589134721
LAMB1	4.20139148341765	2.76216712824187e-16	UP	3.90184378544678	4.43924465579859e-14	UP	3.07536845440469	4.62448747839374e-09	UP	-1.94934542539174
LRRC15	10.17543162516	4.76846739893495e-20	UP	8.78642792571682	4.43189320135938e-15	UP	6.0626754412961	1.51060135555994e-07	UP	-1.94991925743218
LPAR1	5.86535496343291	2.53390767980773e-38	UP	4.88383237080534	1.591010559989e-26	UP	3.90764933472339	3.84556530442358e-17	UP	-1.94994370601387
MAML2	3.73545059062079	1.4679536014655e-26	UP	3.50190097636299	2.08008531454916e-23	UP	2.84322701172185	1.68529129397531e-15	UP	-1.95100343282292
TWIST1	8.89126372995053	8.61042446894587e-17	UP	7.35623367586193	1.09984711711689e-11	UP	5.42784845826788	1.18237791923957e-06	UP	-1.96443318658523
ARSK	2.705902925561	6.42913224175605e-15	UP	2.58461862595983	6.78246389973746e-14	UP	2.34079828979748	2.91068955138279e-11	UP	-1.97569365403397
SEPT7	3.20263221456927	6.9533947313085e-17	UP	2.94665344943696	2.35345049699436e-14	UP	2.60286880456728	2.45575710359628e-11	UP	-2.00310539456529
GALNT5	4.00765006744666	1.28949525509612e-20	UP	3.54775041079869	2.92168273074654e-16	UP	3.00657392699958	7.3528744863489e-12	UP	-2.0054977865525
