0d	90d	120d	control	std
DPP4	11.4850396430272	9.68822822113562	6.94959101875447	6.42545107014975	2.37730297439897
MOXD1	10.5026678060033	8.57840743872591	6.26502718722511	5.20652748715612	2.37260761018317
CFH	9.2723044459022	8.37976197132007	7.7791376136389	3.9105621956945	2.36422699194652
SLIT3	9.88626281888574	7.72864395283542	5.08960013045602	4.92859129653181	2.36418714114708
LDB2	6.9630950167132	5.28333778807441	2.50295783295838	1.98756762106605	2.3510373892706
SHOX2	6.94172782689292	6.05654480673829	4.34501313414556	1.6083264684391	2.34835203179418
TNC	14.714595433364	13.2812987142123	11.2653664107037	9.34079495712085	2.34742376671198
PTN	5.46352114286743	4.33524095182276	1.6618717791482	0.389099786246721	2.34190427424411
SPHKAP	5.19368822107666	4.6375988085503	1.77991903051908	0.291616086755235	2.3320647488785
OLFML1	7.3808977483376	5.32608557905229	2.90661732662	2.33462842090544	2.32443696282934
ABCC9	6.58982891237814	5.85676457934905	3.26470545897538	1.58909395846675	2.31553874739931
