Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change	score
ADGRG1	-4.35733908268716	1.27496792710621e-08	DOWN	-2.7151054240106	0.000531639100085075	DOWN	-1.01685773342043	0.251045390591471	NOT	-2.32362361584631
KLK6	-7.15647169451899	1.01068387949646e-08	DOWN	-4.21811230065771	2.08029139834739e-05	DOWN	-2.43829847958395	0.0149881508317528	DOWN	-2.2798747353511
COL9A2	-3.61693681007629	0.000130282610175008	DOWN	-2.90409693645091	0.00123337484296019	DOWN	-0.69437570312336	0.494857858578219	NOT	-2.22818540382957
ALOX12B	-7.09591162242645	1.49832937731895e-08	DOWN	-5.84630766522355	1.47442686520841e-08	DOWN	-2.43882423591108	0.00568700785139174	DOWN	-2.2182631506043
PELI1	-2.34017458334811	7.68345789273523e-07	DOWN	-1.24494750618277	0.0093636645795982	DOWN	-0.0642491500974749	0.93020031220311	NOT	-2.21167628315316
MT1F	-2.2559828792325	0.00796610017901405	DOWN	-1.69569398033619	0.0448657545231956	DOWN	-0.033697284498447	0.985481837542086	NOT	-2.1885883102356
CASZ1	-8.21842364598479	3.19407781993486e-15	DOWN	-4.5656906622231	1.99653184795651e-08	DOWN	-3.0186002232269	0.000241722458746209	DOWN	-2.18122319953098
NLE1	-2.74615913345215	3.45954180220776e-08	DOWN	-1.09639659630028	0.0302930680898485	DOWN	-0.282763705308096	0.644353543627001	NOT	-2.18063172283596
LOC100507002	-4.16161115423213	0.00348202086758697	DOWN	-2.44964068593657	0.0472590477503073	DOWN	-0.993716935429155	0.435193480794475	NOT	-2.17417728337382
DCTPP1	-3.67687053901997	2.48181336388877e-09	DOWN	-1.76287169900335	0.00439990581246824	DOWN	-0.753107537950966	0.275834650988185	NOT	-2.17065546311804
ADGRE2	-4.45199040425479	4.32890520365809e-07	DOWN	-1.45093907564009	0.0479076282909504	DOWN	-1.15225844526912	0.127008581159395	NOT	-2.14747351371655
TMEM40	-8.78926207031349	1.47680172602193e-15	DOWN	-5.15832447512428	5.89849974594888e-08	DOWN	-3.32295634163002	0.00064064638891615	DOWN	-2.14334938705346
CERS4	-6.42788519336554	6.51393312349783e-11	DOWN	-4.19793360869465	8.19990017652197e-08	DOWN	-2.1524738917873	0.00562330468437644	DOWN	-2.12293740979093
CCDC64	-3.73965968068113	1.37602394303279e-05	DOWN	-1.75596119939962	0.0198461283585269	DOWN	-0.812506080787669	0.319466813587232	NOT	-2.11464751910579
NPM2	-4.9822036511669	0.000153569914423077	DOWN	-3.13245890703488	0.00168362457329987	DOWN	-1.44284132591043	0.114222529697658	NOT	-2.09652099934604
FAM189A2	-6.6773288534679	3.305740627614e-08	DOWN	-3.73415792297573	3.66024709381104e-06	DOWN	-2.30080394456047	0.00296827180160273	DOWN	-2.07572096434695
CYC1	-2.7377412957047	1.19354891013991e-07	DOWN	-1.51775596115541	0.00477424912225389	DOWN	-0.332040233807231	0.616742348862073	NOT	-2.07366082809024
NOTCH1	-2.91890601563392	6.97927881607252e-09	DOWN	-1.52092377514549	0.00379331988413703	DOWN	-0.429572486790913	0.491981152473146	NOT	-2.05976104205209
IFFO2	-4.02201220419046	6.1899052099669e-11	DOWN	-1.94377180525692	0.00253950260574703	DOWN	-0.988491543883016	0.160042346408824	NOT	-2.04502911642442
DLX5	-6.67106859083147	9.56377677816197e-08	DOWN	-4.44841466094909	2.49960041078326e-06	DOWN	-2.31681234994616	0.00938728729935534	DOWN	-2.03744389093916
LINC00673	-3.93564389752446	1.10235941137957e-10	DOWN	-1.919657778078	0.000610643133373396	DOWN	-0.956635196563901	0.109104098681863	NOT	-2.02237350439666
F12	-4.94102086646578	1.02476319519294e-05	DOWN	-2.81880340281991	0.00093729412397179	DOWN	-1.46392863093951	0.0832563175880297	NOT	-2.01316360458676
PGLYRP4	-4.80094511109605	0.000657763215245691	DOWN	-4.10605216688793	0.00152914929423212	DOWN	-1.40583037085197	0.231774474742009	NOT	-1.98928436939212
BTG2	-3.15302584720588	5.42089084242835e-06	DOWN	-2.61963011038281	0.000203215712908574	DOWN	-0.584932680899212	0.493513993127329	NOT	-1.98316048540746
REEP6	-3.08971116966308	0.00070972693341308	DOWN	-1.87735093092592	0.033674117144947	DOWN	-0.554391724482663	0.587155278944034	NOT	-1.98092772069775
PPP1R13L	-3.33932448343825	5.86494476696105e-08	DOWN	-1.62740657352045	0.0112089511291293	DOWN	-0.682972294899913	0.346543999966793	NOT	-1.97337989363842
RNF39	-6.19303520190838	7.31255965645006e-13	DOWN	-4.96600362549666	1.42171064760737e-09	DOWN	-2.11101396999567	0.0132799291337401	DOWN	-1.97100726191704
RAET1L	-6.57838140436328	1.36203720490503e-07	DOWN	-4.21364581618714	5.09675931032353e-06	DOWN	-2.31218525105287	0.00840541299400747	DOWN	-1.95401090225754
FBXO46	-2.09686643187169	0.00013479124099396	DOWN	-1.28239578298424	0.0206840273819845	DOWN	-0.0718408870521049	0.932101396304924	NOT	-1.95318465776748
TSEN54	-2.78951940148248	4.30503484659329e-08	DOWN	-1.76535022654343	0.000379410802307345	DOWN	-0.418623784584739	0.473786022196161	NOT	-1.952271832313
KIAA1522	-2.89065262547094	1.18965006842688e-06	DOWN	-1.75581158029438	0.00463581789783182	DOWN	-0.469819731307002	0.52912576604462	NOT	-1.95101316285694
LINC00592	-4.13461758534983	0.00421359980148891	DOWN	-2.83751191397182	0.0276820674475341	DOWN	-1.10705897541831	0.39080120155317	NOT	-1.9204996345132
