case1_rep1	case1_rep2	case1_rep3	case2_rep1	case2_rep2	case2_rep3	case3_rep1	case3_rep2	case3_rep3	control_rep1	control_rep2	control_rep3
ABCC10	111.106359893276	180.282762567838	105.343918260958	119.11632993722	131.947839146167	107.188426413454	153.186912351889	147.993705018677	131.248218643206	172.221313222316	179.025651016464	229.148403123781
ABCC11	0	0	0	0	0	0	0	0	5.70644428883505	1.33504893970787	0	1.44377931761158
ABCC2	9.66142259941531	5.69313987056329	2.5081885300228	3.55571134140957	23.0385115969498	7.52199483603184	9.40621391634403	13.4539731835161	5.70644428883505	208.458355871529	226.711941806403	213.060576441823
ABCC3	146.531576091132	400.417504229618	1148.75034675044	321.791876397566	418.882029035451	490.810163051077	511.966786018154	642.800940990213	378.527471159391	80.6751002137758	135.784692418808	162.322046137188
ABCC4	724.606694956149	569.313987056329	338.605451553078	842.703587914067	436.684515269457	291.477299896234	299.655100477817	322.895356404386	370.918878774278	84.108083201596	128.91463357619	170.984722042857
ABCC5	233.48437948587	292.247846688916	205.67145946187	288.012618654175	762.36529284452	703.306517168977	765.934561759443	1052.39968013281	707.599091815546	195.489309028653	193.776071472674	227.085861241479
ABCC5-AS1	1.61023709990255	3.79542658037553	2.5081885300228	1.77785567070478	4.18882029035451	13.1634909630557	0	4.48465772783869	9.51074048139174	1.14432766260675	1.41442387936258	1.44377931761158
ABCC6	8.05118549951276	7.59085316075106	17.5573197101596	3.55571134140957	5.23602536294313	3.76099741801592	2.68748969038401	4.48465772783869	0	0.953606385505624	3.83915052969844	2.06254188230226
ABCC6P1	0	0	5.0163770600456	0	2.09441014517725	0	2.68748969038401	0	3.8042961925567	0.762885108404499	0	0
ABCC6P2	1.61023709990255	1.89771329018776	2.5081885300228	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0.412508376460452
ABCC9	57.9685355964919	489.610028868443	140.458557681277	643.583752795132	50.2658434842541	15.0439896720637	1.343744845192	16.4437450020752	5.70644428883505	0.762885108404499	0.606181662583964	0
ABCD1	98.2244630940557	174.589622697274	50.163770600456	104.893484571582	35.6049724680133	15.0439896720637	16.1249381423041	16.4437450020752	13.3150366739484	135.030664187596	136.592934635587	146.027965267
ABCD2	0	0	0	0	0	0	1.343744845192	0	0	0.953606385505624	0	0
ABCD3	270.519832783629	180.282762567838	318.539943312896	309.346886702632	240.857166695384	306.521289568297	252.624030896097	182.376080932107	283.420066345474	164.973904692473	175.38856104096	190.991378301189
